rank,candidate,price_yen,demand_25,recency_15,problem_clarity_15,owner_evidence_15,differentiation_10,price_fit_10,buildability_5,risk_fit_5,total,status
1,"非エンジニアでも1時間で作れる はじめてのCodex Skill",2980,23,15,15,15,8,10,4,4,94,"金曜商品に採用"
2,"Codexの できました を鵜呑みにしない 完了証拠チェックテンプレ",980,18,13,15,15,10,10,5,5,91,"火曜商品に採用"
3,"AIを使って初めてのBrainを完成させる制作キット",2980,25,15,15,8,4,10,3,4,84,"競合強・自社販売データ待ち"
4,"Codexで週2本の有料教材を作るコンテンツファクトリー",2980,22,15,15,6,8,10,3,4,83,"4週間の自社運用後に再採点"
5,"Brain・Tips・noteを調べる教材テーマ採点キット",1980,17,14,15,8,9,10,4,5,82,"市場調査を4回実施後に再採点"
6,"CodexとClaude Codeの使い分け・移行チェックリスト",1980,18,13,14,15,5,10,3,3,81,"更新負担が大きいため次点"
7,"非エンジニア向けCodex Plugins導入ガイド",1980,16,15,13,10,7,10,3,4,78,"対象プランと提供差の検証が必要"
8,"AIの誤り・誇大表現・個人情報を止める第三者レビューキット",1980,12,10,15,15,8,10,4,3,77,"市場需要の追加確認が必要"
9,"一人社長のAI司令塔スターターキット",2980,18,12,13,15,2,8,2,2,72,"既存AI秘書教材と重複"
10,"Codexでnote・X・Threadsの下書きを作る発信キット",2980,18,13,14,8,5,7,3,2,70,"競合多・本人の発信実績待ち"
